Site;parnr;Lupin.NoLupin;Species;Occ
Bänntorpet;2;NoLupin;Tragopogon pratensis;1
Bänntorpet;2;NoLupin;Trifolium medium;12
Bänntorpet;2;NoLupin;Trifolium repens;1
Bänntorpet;2;NoLupin;Tussilago farfara;1
Dragkärret;1;Lupin;Achillea millefolium;10
Dragkärret;1;Lupin;Anthriscus sylvestris;1
Dragkärret;1;Lupin;Campanula rotundifolia;3
Dragkärret;1;Lupin;Cirsium arvense;1
Dragkärret;1;Lupin;Equisetum arvense;6
Dragkärret;1;Lupin;Fragaria vesca;11
Dragkärret;1;Lupin;Gallium mollugo;10
Dragkärret;1;Lupin;Hieracium umbellatum;1
Dragkärret;1;Lupin;Leucanthemum vulgare;2
Dragkärret;1;Lupin;Lupinus polyphyllus;16
Dragkärret;1;Lupin;Scorzoneroides autumnalis;2
Dragkärret;1;Lupin;Taraxacum;1
Dragkärret;1;Lupin;Trifolium medium;6
Dragkärret;1;NoLupin;Achillea millefolium;6
Dragkärret;1;NoLupin;Anthriscus sylvestris;1
Dragkärret;1;NoLupin;Betula pendula;1
Dragkärret;1;NoLupin;Cirsium arvense;1
Dragkärret;1;NoLupin;Equisetum arvense;6
Dragkärret;1;NoLupin;Fragaria vesca;12
Dragkärret;1;NoLupin;Galium verum;1
Dragkärret;1;NoLupin;Gallium mollugo;12
Dragkärret;1;NoLupin;Hieracium umbellatum;1
Dragkärret;1;NoLupin;Leucanthemum vulgare;6
Dragkärret;1;NoLupin;Lotus corniculatus;1
Dragkärret;1;NoLupin;Lupinus polyphyllus;4
Dragkärret;1;NoLupin;Pilosella cymosa;7
Dragkärret;1;NoLupin;Pilosella officinarum;2
Dragkärret;1;NoLupin;Pinus sylvestris;1
Dragkärret;1;NoLupin;Scorzoneroides autumnalis;5
Dragkärret;1;NoLupin;Taraxacum;7
Dragkärret;1;NoLupin;Tragopogon pratensis;4
Dragkärret;1;NoLupin;Trifolium medium;2
Dragkärret;2;Lupin;Achillea millefolium;14
Dragkärret;2;Lupin;Anthriscus sylvestris;10
Dragkärret;2;Lupin;Campanula rotundifolia;1
Dragkärret;2;Lupin;Equisetum arvense;6
Dragkärret;2;Lupin;Gallium mollugo;15
Dragkärret;2;Lupin;Hieracium umbellatum;3
Dragkärret;2;Lupin;Lotus corniculatus;8
Dragkärret;2;Lupin;Lupinus polyphyllus;16
Dragkärret;2;Lupin;Plantago major;1
Dragkärret;2;Lupin;Scorzoneroides autumnalis;1
Dragkärret;2;Lupin;Stellaria graminea;2
Dragkärret;2;Lupin;Taraxacum;3
Dragkärret;2;Lupin;Tragopogon pratensis;1
Dragkärret;2;NoLupin;Achillea millefolium;16
Dragkärret;2;NoLupin;Anthriscus sylvestris;2
Dragkärret;2;NoLupin;Campanula persicifolia;2
Dragkärret;2;NoLupin;Equisetum arvense;7
Dragkärret;2;NoLupin;Gallium mollugo;5
Dragkärret;2;NoLupin;Hieracium umbellatum;6
Dragkärret;2;NoLupin;Lathyrus pratensis;5
Dragkärret;2;NoLupin;Leucanthemum vulgare;2
Dragkärret;2;NoLupin;Lotus corniculatus;6
Dragkärret;2;NoLupin;Pilosella cymosa;5
Dragkärret;2;NoLupin;Potentilla erecta;1
Dragkärret;2;NoLupin;Scorzoneroides autumnalis;1
Dragkärret;2;NoLupin;Taraxacum;1
Dragkärret;2;NoLupin;Trifolium hybridum;9
Dragkärret;2;NoLupin;Tussilago farfara;3
Dragkärret;2;NoLupin;Vicia cracca;5
Enköping;1;Lupin;Fragaria vesca;6
Enköping;1;Lupin;Galium boreale;4
Enköping;1;Lupin;Gallium mollugo;9
Enköping;1;Lupin;Geum rivale;2
Enköping;1;Lupin;Lupinus polyphyllus;16
