Datum;County;Site;N;E;Parnr;Lupin.NoLupin;Lupin;Swedish.name;Species;Occurrence;Veg.höjd 1 i cm;Veg.höjd 2;Veg.höjd 3;Veg.höjd 4;Veghgt.avg;Förna 1 i cm;Förna 2;Förna 3;Förna 4;Förna 5;Förna 6;Förna 7;Förna 8;Förna 9;Förna 10;Förna 11;Förna 12;Förna 13;Förna 14;Förna 15;Förna 16;Litt.avg
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Kvastfibbla;Pilosella cymosa;14;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Lupin;Lupinus polyphyllus;2;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Maskros;Taraxacum;1;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Prästkrage;Leucanthemum vulgare;3;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Röllika;Achillea millefolium;16;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Skogsfräken;Equisetum sylvaticum;1;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Skogsklöver;Trifolium medium;16;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Smultron;Fragaria vesca;13;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Stenbär;Rubus saxatilis;5;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Stormåra;Gallium mollugo;1;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Vanligsmörblomma;Ranunculus acris subsp. acris;2;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Åkerfräken;Equisetum arvense;15;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Ängsfryle;Luzula multiflora;3;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;Lupin;Yes;Gråfibbla;Pilosella officinarum;3;;;;;67,5;;;;;;;;;;;;;;;;;1,2
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;Lupin;Yes;Hundkex;Anthriscus sylvestris;3;;;;;67,5;;;;;;;;;;;;;;;;;1,2
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;Lupin;Yes;Häckvicker;Vicia sepium;2;;;;;67,5;;;;;;;;;;;;;;;;;1,2
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;Lupin;Yes;Höstfibbla;Scorzoneroides autumnalis;2;;;;;67,5;;;;;;;;;;;;;;;;;1,2
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;Lupin;Yes;Kvastfibbla;Pilosella cymosa;5;;;;;67,5;;;;;;;;;;;;;;;;;1,2
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;Lupin;Yes;Lupin;Lupinus polyphyllus;16;;;;;67,5;;;;;;;;;;;;;;;;;1,2
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;Lupin;Yes;Maskros;Taraxacum;6;;;;;67,5;;;;;;;;;;;;;;;;;1,2
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;Lupin;Yes;Röllika;Achillea millefolium;1;;;;;67,5;;;;;;;;;;;;;;;;;1,2
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;Lupin;Yes;Skogsfräken;Equisetum sylvaticum;2;;;;;67,5;;;;;;;;;;;;;;;;;1,2
