County;Site;parnr;Lupin;Species;Veghgt.avg;Litt.avg;Light;Moisture;pH;Nitrogen;Family;Sp.length;Management.dependent;Occurrences
Uppsala;Motocrossbanan ;1;Yes;Geum rivale;72,5;0,4;4;6;6;6;Rosaceae;35;1;1
Uppsala;Motocrossbanan ;1;Yes;Hieracium sect. Hieracium agg.;72,5;0,4;3;5;6;5;Asteraceae;37,5;0;3
Uppsala;Motocrossbanan ;1;Yes;Hieracium sect. Tridentata;72,5;0,4;6;3;3;4;Asteraceae;70;0;6
Uppsala;Motocrossbanan ;1;Yes;Lupinus polyphyllus;72,5;0,4;5;3;2;2;Fabaceae;85;-1;16
Uppsala;Motocrossbanan ;1;Yes;Noccaea caerulescens;72,5;0,4;5;2;4;3;Brassicaceae;22,5;2;7
Uppsala;Motocrossbanan ;1;Yes;Pilosella cymosa;72,5;0,4;7;2;6;5;Asteraceae;60;0;2
Uppsala;Motocrossbanan ;1;Yes;Pilosella lactucella;72,5;0,4;6;6;6;4;Asteraceae;17,5;2;1
Uppsala;Motocrossbanan ;1;Yes;Ranunculus acris subsp. acris;72,5;0,4;5;5;4;7;Ranunculaceae;45;1;5
Uppsala;Motocrossbanan ;1;Yes;Ranunculus repens;72,5;0,4;4;7;5;7;Ranunculaceae;30;0;1
Uppsala;Motocrossbanan ;1;Yes;Solidago virgaurea;72,5;0,4;4;4;4;4;Asteraceae;62,5;0;3
Uppsala;Motocrossbanan ;1;Yes;Taraxacum;72,5;0,4;NA;NA;NA;NA;Asteraceae;NA;1;2
Uppsala;Motocrossbanan ;1;Yes;Tragopogon pratensis;72,5;0,4;7;2;7;6;Asteraceae;55;1;1
Uppsala;Motocrossbanan ;1;Yes;Tussilago farfara;72,5;0,4;5;6;6;5;Asteraceae;12,5;0;8
Uppsala;Ransta;1;No;Achillea millefolium;14,375;1,4;6;2;5;5;Asteraceae;45;1;16
Uppsala;Ransta;1;No;Anthriscus sylvestris;14,375;1,4;5;5;6;7;Apiaceae;100;-1;1
Uppsala;Ransta;1;No;Cirsium arvense;14,375;1,4;6;5;5;7;Asteraceae;95;-1;1
Uppsala;Ransta;1;No;Equisetum arvense;14,375;1,4;5;4;6;5;Equisetaceae;30;0;9
Uppsala;Ransta;1;No;Fragaria vesca;14,375;1,4;4;4;5;4;Rosaceae;12,5;0;8
Uppsala;Ransta;1;No;Gallium mollugo;14,375;1,4;5;3;5;5;Rubiaceae;65;0;12
Uppsala;Ransta;1;No;Geum urbanum;14,375;1,4;3;4;6;7;Rosaceae;50;0;4
Uppsala;Ransta;1;No;Hieracium sect. Tridentata;14,375;1,4;6;3;3;4;Asteraceae;70;0;4
Uppsala;Ransta;1;No;Lathyrus pratensis;14,375;1,4;6;5;5;5;Fabaceae;60;1;12
Uppsala;Ransta;1;No;Ranunculus acris subsp. acris;14,375;1,4;5;5;4;7;Ranunculaceae;45;1;4
Uppsala;Ransta;1;No;Rumex longifolius;14,375;1,4;6;4;4;7;Polygonaceae;90;-1;1
Uppsala;Ransta;1;No;Stachys palustris;14,375;1,4;7;6;5;7;Lamiaceae;65;0;10
Uppsala;Ransta;1;No;Taraxacum;14,375;1,4;NA;NA;NA;NA;Asteraceae;NA;1;2
Uppsala;Ransta;1;No;Trifolium medium;14,375;1,4;5;3;5;3;Fabaceae;27,5;1;10
Uppsala;Ransta;1;No;Veronica chamaedrys;14,375;1,4;4;4;5;5;Plantaginaceae;20;1;13
Uppsala;Ransta;1;Yes;Achillea millefolium;51,25;2;6;2;5;5;Asteraceae;45;1;14
